Distance (kilometers),Birmingham,Liverpool,Sheffield,Bristol,Glasgow,Leicester,Leeds,Cardiff,Manchester,Stoke-on-Trent,Sunderland,Nottingham,Kingston upon Hull
Birmingham,0,157,137,143,462,71,192,173,139,75,321,83,221
Liverpool,159,0,120,289,348,188,117,320,54,90,267,174,202
Sheffield,138,119,0,280,401,104,56,311,66,80,197,62,106
Bristol,142,288,280,0,593,190,334,69,270,205,464,226,364
Glasgow,463,348,401,593,0,492,350,624,343,394,262,450,421
Leicester,72,188,104,189,491,0,158,239,169,100,288,44,156
Leeds,191,117,56,334,349,158,0,365,71,147,146,116,96
Cardiff,173,319,310,69,624,239,365,0,301,236,494,256,395
Manchester,141,54,67,271,343,170,71,302,0,72,221,131,156
Stoke-on-Trent,75,89,80,205,394,100,149,236,71,0,299,85,204
Sunderland,321,267,197,463,262,288,146,494,221,297,0,246,181
Nottingham,83,173,62,225,449,43,116,256,131,85,246,0,146
Kingston upon Hull,222,202,106,364,421,157,97,395,156,204,181,146,0
